factor,ic_mean,icir,ic_pos_years,years,max_abs_rho_vs_old
efx_lu_board_density,0.022801002310751887,2.550006434580674,7.0,7.0,0.20440192302559992
mfx_minute_realized_vol,-0.02249223435866988,-0.944910505800547,1.0,8.0,0.4110092117975791
efx_limit_reseal_span,-0.021469804177229174,-1.6122562372006468,0.0,6.0,0.20455113071832362
efx_top_move,-0.019558389136728537,-1.4892957806925005,0.0,8.0,0.22092178885053876
mfx_ths_turnover_rate,-0.01911476456868947,-1.0191228042802758,1.0,8.0,0.40214638118690627
efx_annual_earnings_yield,0.018702422009587338,1.4944885782870345,7.0,8.0,0.47055623880176106
efx_top_float,-0.018651302920174515,-0.6569036049699106,3.0,8.0,0.32781682172677834
mfx_dc_turnover_rate,-0.017613295001780976,-0.969468445006243,1.0,8.0,0.29086620800562735
efx_annual_sales_yield,0.01667095278968572,1.2310038587687446,7.0,8.0,0.519808239481267
efx_lu_one_price,-0.016573861838191536,-1.6673931773528645,0.0,8.0,0.3267740464631192
mfx_ths_volume,-0.014368509168913954,-0.5647550441388658,2.0,8.0,0.2581727152309433
mfx_dc_volume,-0.013840411047720134,-0.5798986864825543,1.0,8.0,0.4478120785930389
efx_limit_first,-0.013765324283388641,-0.9454710703218969,1.0,6.0,0.5881085238856641
efx_seal_float,-0.013246845077988503,-0.7705781573739034,2.0,6.0,0.6285091397446418
mfx_index_range,-0.013218645225318851,-0.7055757577946881,3.0,8.0,0.470486406445428
efx_limit_signed_move,-0.01307566280414394,-0.6752774307986917,1.0,6.0,0.4973333304573417
efx_lu_seal_volume,-0.012853252624786888,-1.2823670507448617,0.0,8.0,0.341620950318731
qf_core_roe_yoy_change,0.012579100684301923,1.2921046111386207,8.0,8.0,0.32185266010989017
afx_bs_surplus_rese,0.012334376297339062,1.624418796711239,8.0,8.0,0.6554922122164439
mfx_index_volume,-0.011893185637067085,-0.5127318125292405,1.0,8.0,0.8695045415425537
qf_roe_yoy_change,0.011795785588100585,0.987190301846707,6.0,8.0,0.31306931178132824
afx_fi_surplus_rese_ps,0.011761292562929881,1.3563838854249475,8.0,8.0,0.16403564510209007
qf_core_roe_vol_4q,0.011536729423369318,1.3885979472076955,7.0,8.0,0.4528010034574396
mfx_tdx_volume,-0.010984917838498327,-0.4876516764134981,2.0,8.0,0.4223371607772875
qf_sales_growth_vol_4q,0.01095940652929148,1.1575939128418313,7.0,8.0,0.5127248068062185
efx_dragon_net_intensity,-0.010499997674968878,-1.0669223012094964,1.0,8.0,0.5164418495727675
qf_roa_yoy_change,0.010439801420261347,0.8751613298787612,5.0,8.0,0.540651532736692
afx_cf_oth_cashpay_ral_fnc_act,-0.010188286132090702,-1.5878792734542695,1.0,8.0,0.35621954899247216
efx_dragon_ratio_balance,-0.009467180536990874,-0.9638341459832068,1.0,8.0,0.36243721315799765
efx_top_imbalance,-0.00930490788903612,-0.9429515607812464,1.0,8.0,0.37868077066889283
afx_bs_oth_rcv_total,-0.00887576286809336,-1.3958441234254524,0.0,8.0,0.44165769273700717
mfx_dc_amount,-0.008805997120694369,-0.4501364740525746,2.0,8.0,0.4569116978496308
mfx_tdx_amount,-0.00875748543027261,-0.4466055709507132,2.0,8.0,0.4453416524568285
mfx_index_amount,-0.008513409588461932,-0.46237923619334775,2.0,8.0,0.468474379218764
afx_bs_oth_pay_total,-0.008149483962523865,-0.9657013292001878,2.0,8.0,0.6277403124502565
efx_top_net_rate,-0.0081471067930524,-0.9267345515649734,1.0,8.0,0.2506676371146327
afx_fi_retained_earnings,0.008043347898652253,0.6005718165142064,6.0,8.0,0.3620333421643364
efx_lu_first,-0.007972573159833206,-0.6577395931945798,2.0,8.0,0.3430013925046535
afx_fi_tangible_asset,0.007966675204654121,1.5389220658961622,7.0,8.0,0.18223099418824557
afx_bs_oth_payable,-0.007679651913606634,-1.053486570153955,2.0,8.0,0.2299926750204125
afx_bs_taxes_payable,-0.007664563346538065,-1.0197047908821686,1.0,8.0,0.2987448228166946
qf_sales_growth_accel,0.00763349053359758,1.9559347327120777,8.0,8.0,0.433388816455893
afx_cf_finan_exp,-0.007528793039767611,-0.9431225239080844,1.0,8.0,0.32919436328116647
efx_limit_trade_share,0.007431692947236224,0.5809707219998174,5.0,6.0,0.24535686740634174
afx_cf_oth_cash_recp_ral_fnc_act,-0.007300373290827664,-1.2699296962226494,1.0,8.0,0.4433979938900043
afx_bs_oth_liab,0.006787882131853941,0.640689739790531,7.0,8.0,0.16747305384238206
